paper_id,title,first_author,publication_year,journal,doi,abstract_or_summary,source_api,is_open_access,has_abstract,has_fulltext,document_type,retrieval_query,retrieval_date,screening_status,screening_notes,relevance_score,extractability_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,exclude_reason,final_priority_label
paper_0220,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",Enrico Tusini,2024,ACS Catalysis,10.1021/acscatal.3c05847,"Ni-based catalysts are the most widely used materials to produce H<sub>2</sub> in large-scale methane steam reformers under stationary conditions. For domestic applications such as fuel cells, H<sub>2</sub> production involves the exposure of the catalysts to more dynamic conditions due to the daily startup and shutdown operation mode, making Ni-based catalysts susceptible to oxidation and deactivation. In this context, we report a systematic investigation of the structural changes occurring for monometallic Ni/MgAlO<sub><i>x</i></sub> and bimetallic NiPt/MgAlO<sub><i>x</i></sub> catalysts during methane steam reforming under transient conditions, comprising catalyst activation, operation, and deactivation processes. Besides extensive catalytic tests, the samples prepared by incipient wetness impregnation were characterized by complementary methods, including N<sub>2</sub>-physisorption, X-ray diffraction, H<sub>2</sub>-temperature-programmed reduction, and electron microscopy. Next, the structure of the Ni and Pt species was monitored under reaction conditions using time and spatially resolved <i>in situ</i>/<i>operando</i> X-ray absorption spectroscopy. The results obtained show that before catalyst activation by H<sub>2</sub>-reduction, nickel diffuses into the support lattice and forms mixed oxides with magnesium. In the activated catalysts, Ni is present in the metallic state or alloyed with Pt. A clear beneficial effect of the noble metal addition was identified on both the activity and stability of the bimetallic NiPt/MgAlO<sub><i>x</i></sub> catalyst. In contrast, the pronounced oxidation and reincorporation of Ni into the support lattice were observed for the monometallic sample, and these catalyst deactivation effects are hindered in the bimetallic Ni-Pt catalyst. Overall, the outcome of our study not only helps in understanding the catalyst activation/deactivation processes at an atomic level but also provides the basis for the rational development of improved methane steam reforming catalysts.",openalex,yes,yes,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",Yi Lin,2025,Fuel Processing Technology,10.1016/j.fuproc.2025.108325,"Ni-based catalysts supported on composite metal oxides (NiO-Al 2 O 3 , MgO-Al 2 O 3 , Co 3 O 4 -Al 2 O 3 ) were synthesized via coprecipitation followed by Ni impregnation to investigate the influence of support composition on catalyst stability in methane steam reforming. Accelerated deactivation protocols (methane decomposition, high-temperature sintering, hydrothermal oxidation) revealed hydrothermal oxidation as the primary cause of irreversible deactivation. The 10Ni/NiAl catalyst (10 wt% Ni/10 wt% NiO-Al 2 O 3 ) showed remarkable regenerability after 923 K hydrothermal treatment, fully restoring its activity. This was attributed to coexisting reduced Ni species and readily reducible NiO, facilitating rapid reactivation. Other catalysts formed thermally stable NiAl 2 O 4 , leading to permanent deactivation. Methane cracking at 973 K had negligible effect, and 10Ni/NiAl catalyst exhibited the lowest carbon deposition (17.02 %). Under extreme hydrogen purged at 1223 K, only the 10Ni/CoAl catalyst exhibited a minor activity decline. The superior stability of 10Ni/NiAl was attributed to an in situ-formed NiAl composite metal oxides during 973 K calcination, which effectively anchored Ni particles, suppressed sintering, and prevented extensive oxidation. • The stability of Ni-based catalysts is significantly influenced by composite metal oxide supports. • Hydrothermal oxidation is the primary cause of catalyst deactivation. • 10Ni/CoAl catalyst is the most affected by forced sintering at 1223 K • 10Ni/NiAl catalyst shows exceptional activity and stability for 300 h in methane steam reforming. • 10Ni/NiAl catalyst recovers its activity after multiple start-up/shut-down cycles without inert gas protection.",crossref;openalex,yes,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0002,Mechanism of the steam reforming of methane over a coprecipitated nickel-alumina catalyst,J.R.H. Ross,1973,Journal of the Chemical Society Faraday Transactions 1 Physical Chemistry in Condensed Phases,10.1039/f19736900010,"The kinetics of the steam reforming of methane over a coprecipitated Ni/Al2O3 catalyst have been examined in the temperature range 773 to 953 K and in the pressure range 0–10 Torr. Examination of the stoichiometry of the reaction showed that a catalyst freshly reduced in hydrogen at 873 K was further reduced by the reaction mixture. This is taken to imply that reduction of some phase such as NiAl2O4 was occurring. The rate determining step of the reaction on the fully reduced catalyst under reducing conditions was found to be the rate of adsorption of methane and competition for the adsorption sites by water occurred. The water–gas shift reaction did not proceed appreciably, and this implies that significant CO and CO2 adsorption does not occur on the catalyst surface; this is in agreement with the kinetic results. Experiments involving D2O or D2 helped to confirm these conclusions.",openalex,no,yes,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,85,91.0,yes,yes,no,,top_priority
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,Sanjay Katheria,2016,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.05.109,,openalex,no,no,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,85,91.0,yes,yes,yes,,top_priority
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,Vinod Kumar Jaiswar,2017,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.06.096,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,85,91.0,yes,yes,yes,,top_priority
paper_0080,Effect of Ce<sub><i>x</i></sub>Zr<sub>1-<i>x</i></sub>O<sub>2</sub> Promoter on Ni-Based SBA-15 Catalyst for Steam Reforming of Methane,Kai Wang,2008,Energy & Fuels,10.1021/ef800553b,"Ni/CexZr1-xO2/SBA-15 catalysts were prepared and the catalytic activity for steam reforming of methane reaction was investigated. The addition of CexZr1-xO2 could obviously enhance catalytic activity of the Ni-based catalyst and Ni/CeO2/SBA-15 catalyst shows the excellent catalytic activity and stability at 800 °C over 792 h on steam. After reaction, the mesoporous structure of SBA-15 is still present and the pore walls of SBA-15 prevent the aggregation of nickel. The high catalytic activity and stability of Ni/CexZr1-xO2/SBA-15 catalyst is due to a CexZr1-xO2 layer precoated on SBA-15, which plays a role in forming high activity Ni species rather than bulk NiO and giving mobile oxygen species.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,80,89.0,yes,no,yes,,top_priority
paper_0119,Progresses in the Preparation of Coke Resistant Ni‐based Catalyst for Steam and CO<sub>2</sub> Reforming of Methane,Changjun Liu,2011,ChemCatChem,10.1002/cctc.201000358,"Abstract Steam reforming of methane is an extremely important process for the hydrogen and syngas production. Nickel‐based catalysts have been extensively employed in the industrial process of steam reforming because of their high activity, low cost, and the plentiful supply of Nickel. Nickel‐based catalysts have also shown high activity for CO 2 reforming of methane, which has been considered as a good option, with consumption of a significant amount of carbon dioxide. However, a major challenge is that Ni catalysts have a high thermodynamic potential for coke formation during reforming reactions. For steam reforming, coke formation induces deactivation of the catalyst, especially if the carbon forms as carbon filaments. The filamentous carbon material has a high mechanical strength and can cause mechanical deformation of the catalyst. For CO 2 reforming, coke formation over Ni catalyst is even more serious and leads to rapid deactivation of the catalyst. It is highly desired to design and synthesize a coke resistant Ni catalyst not only for reforming of methane, but also for reforming of other hydrocarbons (including biomass derived hydrocarbons). Herein we summarize the very recent progresses in the design, synthesis, and characterization of coke resistant Ni catalysts for steam and CO 2 reforming of methane. The progresses in the use of promoters, in the effect of supporting materials and in the preparation methods have been discussed. The thermal stability, regeneration, and future development of coke resistant Ni catalysts for these processes are also briefly addressed.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,80,89.0,yes,no,yes,,top_priority
paper_0206,Nickel based catalysts supported on porous support for methane steam reforming: potential and short review,Mawar Hasyikin Abu Seman,2023,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/1151/1/012061,"Abstract The world is now demanding other sustainable energy that can help explore new technologies, especially energy conversion and storage. Hydrogen is regarded as one of the most promising oils and gas successors as a fuel due to its high energy content per unit mass and it burns completely free of pollutants. A widely used method for hydrogen production is steam reforming methane (SRM) from biogas. In the SRM process, using a catalyst is crucial, and, if compared to the available metal-based catalysts, Ni-based catalysts provide an acceptable high activity and a lower cost. In addition, the support material of a catalyst significantly affects its stability, especially for catalysts exposed to elevated temperatures. In this work, porous alumina support was used as a support material for the preparation of a nickel-based catalytic hollow membrane reactor. Porous alumina support was fabricated using a double-step anodization method. The presence of large pores (≈120 nm) on support material contributes to decreasing the resistance to mass transfer. The study also highlights the recent progress on methane steam reforming reaction, giving a short overview of catalyst utilization and the fundamentals of SRM through the developed membrane reactor.",openalex,yes,yes,yes,review,SRM catalyst methane,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,95,75,87.0,yes,yes,yes,,low_priority
paper_0209,Syngas production via combined dry and steam reforming methane over Ni-based catalyst: A review,S.F. AHMAD,2023,Materials research proceedings,10.21741/9781644902516-3,"Abstract. Global energy consumption has eventually increased as a result of the growing world population. Various problems arise as a result. The accumulation of greenhouse gases (GHGs), which led to a shift in the world's climate, is the most problematic. Combined dry and steam reforming of methane (CDRSM) is a highly advantageous method since it uses two of the most significant GHGs, CH4 and CO2, to produce syngas, an intermediate product to produce valuable fuels. Ni-based catalysts are inexpensive, compared to many noble metals, and exhibit good reaction activity. However, deactivation, coking, and sintering of catalysts continue to be the major obstacles to commercialization. Due to better and more stable catalytic structure, which is both coke and sintering resistant at high temperatures, bimetallic catalysts have established increased activity and prolonged durability when compared to monometallic catalysts. This review highlights recent advancements in Ni-based catalysts for CDSRM by emphasizing factors such as catalyst support, bimetallic catalyst, promoters, and strong metal-support interactions (SMSI).",crossref;openalex,yes,yes,yes,review,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,95,75,87.0,yes,yes,yes,,low_priority
paper_0023,Simultaneous Carbon Dioxide and Steam Reforming of Methane to Syngas over NiO−CaO Catalyst,Vasant R. Choudhary,1996,Industrial & Engineering Chemistry Research,10.1021/ie960002l,"Steam reforming, CO2 reforming, and simultaneous steam and CO2 reforming of methane to CO and H2 over NiO−CaO catalyst (without any prereduction treatment) at different temperatures (700−850 °C) and space velocities (5000−70 000 cm3·g-1·h-1) are investigated. The catalyst is characterized by XRD, XPS, and temperature-programmed reduction (TPR). The catalyst showed high activity/selectivity in both the steam and CO2 reforming reactions and the simultaneous steam and CO2 reforming. In the CO2 reforming, the coke deposition on the catalyst is found to be very fast. However, when the CO2 reforming is carried out simultaneously with the steam reforming, the coke deposition on the catalyst is drastically reduced. By the simultaneous CO2 and steam reforming (at ≥800 °C and space velocity of about 20 000−30 000 cm3·g-1·h-1), methane can be converted almost completely to syngas with 100% selectivity for both CO and H2. The H2/CO ratio in products can be varied between 1.5 and 2.5 quite conveniently by manipulating the relative concentration of steam and CO2 in the feed.",openalex,no,yes,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,75,100,85.0,no,yes,yes,,top_priority
paper_0046,Steam reforming of methane and water‐gas shift in catalytic wall reactors,Kartik Venkataraman,2003,AIChE Journal,10.1002/aic.690490518,"Abstract Catalytic wall reactors permit high heat‐transfer rates between exothermic and endothermic reactions taking place catalytically on opposite sides of a thin wall, because they eliminate resistance to heat transfer in thermal boundary layers, thus making them compact and efficient. A parallel plate catalytic wall reactor was built in which exothermic methane combustion on platinum and endothermic methane steam reforming on rhodium occurred on walls in alternate channels. This reactor gave 95% conversion of methane to synthesis gas with a residence time of ∼70 ms at a steam/methane ratio of 1/1 with a thermal efficiency of ∼60%. A preheat pass was added on the combustion side that enabled heat exchange between hot combustion products and cold combustion inlet gases to increase temperature upstream and decrease it downstream. This two‐pass reactor gave H 2 /CO ratios of ∼14/1 with a residence time of ∼170 ms at a steam/methane ratio of 4/1. To increase the H 2 /CO ratio, the endothermic channel length was also extended, with a platinum‐ceria wall coating on the extended region to further reduce downstream temperatures and promote water‐gas shift. This reactor gave downstream temperatures as low as 200°C, and produced H 2 /CO ratios as high as 42/1 with a residence time of ∼300 ms at a steam/methane ratio of 4/1. The extended reactor shows good potential for producing high H 2 /CO ratio product streams suitable for preferential oxidation and subsequent use in fuel cells in a scalable configuration.",openalex,no,yes,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,75,100,85.0,no,yes,yes,,top_priority
paper_0047,Steam reforming of methane over nickel catalysts at low reaction temperature,Yasuyuki Matsumura,2003,Applied Catalysis A General,10.1016/j.apcata.2003.08.009,,openalex,no,no,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,70,85.0,yes,yes,no,,top_priority
paper_0054,Experimental Study of Steam Reforming of Methane in a Thin (6 μM) Pd-Based Membrane Reactor,Jianhua Tong,2005,Industrial & Engineering Chemistry Research,10.1021/ie049115s,"A novel, thin (6 μm), defect-free Pd/MPSS (macroporous stainless steel) composite membrane tube was prepared by using a multidimensional plating mechanism. A high hydrogen permeation flux of 0.260 mol/(m2 s) and complete hydrogen selectivity were obtained at a temperature of 500 °C and a pressure difference of 100 kPa. The catalytic membrane reactor for steam reforming of methane was constructed with the as-synthesized thin Pd/MPSS composite membrane and a commercial Ni−Al2O3 reforming catalyst. Methane conversion, hydrogen extraction ratio, and hydrogen production rate of the membrane reactor were studied in detail under different operating parameters such as temperature, pressure, space velocity, steam-to-methane ratio, and sweep gas flux. Some important effects were found for these operating parameters to the three performance factors. Drastic superiority to the traditional reactor was proved by changing the Pd-based membrane tube to a dense stainless steel tube with the same diameter. Moreover, on comparison with the experimental results and the simulation predictions in other catalytic membrane reactors appearing in the literature, the reactor constructed in the present work had a relatively better performance, due to the higher hydrogen permeance of the thin Pd membrane and the proper operating parameters.",openalex,no,yes,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,75,100,85.0,no,yes,yes,,medium_priority
