paper_id,title,first_author,publication_year,journal,doi,abstract_or_summary,source_api,is_open_access,has_abstract,has_fulltext,document_type,retrieval_query,retrieval_date,screening_status,screening_notes,normalized_title,dedup_key_doi,dedup_key_title_year,duplicate_resolution_basis,master_screening_bucket,non_target_flag,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,journal_metrics_notes,needs_manual_journal_check
paper_0205,Ni/Al2O3 supported on cordierite monoliths for methane steam reforming: Influence of catalyst coating methodology,Pereira,2023.0,Catalysis Communications,10.1016/j.catcom.2023.106759,,crossref,unclear,no,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ni al2o3 supported on cordierite monoliths for methane steam reforming influence of catalyst coating methodology,10.1016/j.catcom.2023.106759,ni al2o3 supported on cordierite monoliths for methane steam reforming influence of catalyst coating methodology::2023.0,,candidate,no,,,,,,yes
paper_0206,Nickel based catalysts supported on porous support for methane steam reforming: potential and short review,Mawar Hasyikin Abu Seman,2023.0,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/1151/1/012061,"Abstract The world is now demanding other sustainable energy that can help explore new technologies, especially energy conversion and storage. Hydrogen is regarded as one of the most promising oils and gas successors as a fuel due to its high energy content per unit mass and it burns completely free of pollutants. A widely used method for hydrogen production is steam reforming methane (SRM) from biogas. In the SRM process, using a catalyst is crucial, and, if compared to the available metal-based catalysts, Ni-based catalysts provide an acceptable high activity and a lower cost. In addition, the support material of a catalyst significantly affects its stability, especially for catalysts exposed to elevated temperatures. In this work, porous alumina support was used as a support material for the preparation of a nickel-based catalytic hollow membrane reactor. Porous alumina support was fabricated using a double-step anodization method. The presence of large pores (≈120 nm) on support material contributes to decreasing the resistance to mass transfer. The study also highlights the recent progress on methane steam reforming reaction, giving a short overview of catalyst utilization and the fundamentals of SRM through the developed membrane reactor.",openalex,yes,yes,yes,review,SRM catalyst methane,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,nickel based catalysts supported on porous support for methane steam reforming potential and short review,10.1088/1755-1315/1151/1/012061,nickel based catalysts supported on porous support for methane steam reforming potential and short review::2023.0,,candidate,no,,,,,,yes
paper_0207,Recent advances in the catalysis of steam reforming of methane (SRM),Joshua O. Ighalo,2023.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.10.177,,openalex,no,no,yes,journal_article,SRM catalyst methane || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,recent advances in the catalysis of steam reforming of methane srm,10.1016/j.ijhydene.2023.10.177,recent advances in the catalysis of steam reforming of methane srm::2023.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0208,Steam reforming of methane over nickel-aluminum spinel-derived catalyst,Xi Ding,2023.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.09.167,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,steam reforming of methane over nickel aluminum spinel derived catalyst,10.1016/j.ijhydene.2023.09.167,steam reforming of methane over nickel aluminum spinel derived catalyst::2023.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0209,Syngas production via combined dry and steam reforming methane over Ni-based catalyst: A review,S.F. AHMAD,2023.0,Materials research proceedings,10.21741/9781644902516-3,"Abstract. Global energy consumption has eventually increased as a result of the growing world population. Various problems arise as a result. The accumulation of greenhouse gases (GHGs), which led to a shift in the world's climate, is the most problematic. Combined dry and steam reforming of methane (CDRSM) is a highly advantageous method since it uses two of the most significant GHGs, CH4 and CO2, to produce syngas, an intermediate product to produce valuable fuels. Ni-based catalysts are inexpensive, compared to many noble metals, and exhibit good reaction activity. However, deactivation, coking, and sintering of catalysts continue to be the major obstacles to commercialization. Due to better and more stable catalytic structure, which is both coke and sintering resistant at high temperatures, bimetallic catalysts have established increased activity and prolonged durability when compared to monometallic catalysts. This review highlights recent advancements in Ni-based catalysts for CDSRM by emphasizing factors such as catalyst support, bimetallic catalyst, promoters, and strong metal-support interactions (SMSI).",crossref;openalex,yes,yes,yes,review,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,syngas production via combined dry and steam reforming methane over ni based catalyst a review,10.21741/9781644902516-3,syngas production via combined dry and steam reforming methane over ni based catalyst a review::2023.0,,candidate,no,,,,,,yes
paper_0210,"Synthesis, characterization, and application of bio-templated Ni–Ce/Al2O3 catalyst for clean H2 production in the steam reforming of methane process",Hadiseh Khosravani,2023.0,Journal of the Energy Institute,10.1016/j.joei.2023.101203,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,synthesis characterization and application of bio templated ni ce al2o3 catalyst for clean h2 production in the steam reforming of methane process,10.1016/j.joei.2023.101203,synthesis characterization and application of bio templated ni ce al2o3 catalyst for clean h2 production in the steam reforming of methane process::2023.0,,candidate,no,2025,6.2,,manual_lookup,Official Elsevier journal page surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-the-energy-institute,no
paper_0197,A two step Microwave-assisted coke resistant mesoporous Ni-Co catalyst for methane steam reforming,Etminan,2022.0,Fuel,10.1016/j.fuel.2021.122411,,crossref,unclear,no,yes,journal_article,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,a two step microwave assisted coke resistant mesoporous ni co catalyst for methane steam reforming,10.1016/j.fuel.2021.122411,a two step microwave assisted coke resistant mesoporous ni co catalyst for methane steam reforming::2022.0,,candidate,no,2025,7.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel,no
paper_0198,CeO2-Based Heterogeneous Catalysts in Dry Reforming Methane and Steam Reforming Methane: A Short Review,Wan Nabilah Manan,2022.0,Catalysts,10.3390/catal12050452,Transitioning to lower carbon energy and environment sustainability requires a reduction in greenhouse gases such as carbon dioxide (CO2) and methane (CH4) that contribute to global warming. One of the most actively studied rare earth metal catalysts is cerium oxide (CeO2) which produces remarkable improvements in catalysts in dry reforming methane. This paper reviews the management of CO2 emissions and the recent advent and trends in bimetallic catalyst development utilizing CeO2 in dry reforming methane (DRM) and steam reforming methane (SRM) from 2015 to 2021 as a way to reduce greenhouse gas emissions. This paper focus on the identification of key trends in catalyst preparation using CeO2 and the effectiveness of the catalysts formulated.,crossref;openalex,yes,yes,yes,review,SRM catalyst methane || methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,ceo2 based heterogeneous catalysts in dry reforming methane and steam reforming methane a short review,10.3390/catal12050452,ceo2 based heterogeneous catalysts in dry reforming methane and steam reforming methane a short review::2022.0,,non_target_flagged,yes,2024,4.0,Q2,manual_lookup,Official MDPI journal metrics page surfaced via search on 2026-04-27; Impact Factor 4.0 in 2024; Q2 in Chemistry Physical; https://www.mdpi.com/journal/catalysts,no
paper_0199,Hollow sphere Ni-based catalysts promoted with cerium for steam reforming of methane,Maryam Meshksar,2022.0,Journal of the Energy Institute,10.1016/j.joei.2022.10.006,,openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst || SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,hollow sphere ni based catalysts promoted with cerium for steam reforming of methane,10.1016/j.joei.2022.10.006,hollow sphere ni based catalysts promoted with cerium for steam reforming of methane::2022.0,,candidate,no,2025,6.2,,manual_lookup,Official Elsevier journal page surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-the-energy-institute,no
paper_0200,In-situ catalytic upgrading of tar from integrated process of coal pyrolysis with steam reforming of methane over carbon based Ni catalyst,Zheng-wei WANG,2022.0,Journal of Fuel Chemistry and Technology,10.1016/s1872-5813(21)60169-x,,openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst || SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,in situ catalytic upgrading of tar from integrated process of coal pyrolysis with steam reforming of methane over carbon based ni catalyst,10.1016/s1872-5813(21)60169-x,in situ catalytic upgrading of tar from integrated process of coal pyrolysis with steam reforming of methane over carbon based ni catalyst::2022.0,,candidate,no,,,,,,yes
paper_0201,"Synthesis, application, and characteristics of mesoporous alumina as a support of promoted Ni-Co bimetallic catalysts in steam reforming of methane",Sara Zolghadri,2022.0,Fuel,10.1016/j.fuel.2022.127005,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,synthesis application and characteristics of mesoporous alumina as a support of promoted ni co bimetallic catalysts in steam reforming of methane,10.1016/j.fuel.2022.127005,synthesis application and characteristics of mesoporous alumina as a support of promoted ni co bimetallic catalysts in steam reforming of methane::2022.0,,candidate,no,2025,7.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel,no
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,Kyungpyo Hong,2021.0,Journal of Materials Chemistry A,10.1039/d0ta11359j,"Ni–Rh and Ni–Co nano-scale alloys exhibit high methane conversion, hydrogen yield, resistance to carbon formation, and long-term stability at low temperatures, allowing them to cope with the various operating conditions of direct methane-fueled PCFCs.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ni based bimetallic nano catalysts anchored on bazr sub 0 4 sub ce sub 0 4 sub y sub 0 1 sub yb sub 0 1 sub o sub 3 sub for internal steam reforming of methane in a low temperature proton conducting ceramic fuel cell,10.1039/d0ta11359j,ni based bimetallic nano catalysts anchored on bazr sub 0 4 sub ce sub 0 4 sub y sub 0 1 sub yb sub 0 1 sub o sub 3 sub for internal steam reforming of methane in a low temperature proton conducting ceramic fuel cell::2021.0,,candidate,no,2025,9.5,,manual_lookup,Official RSC journal page surfaced via search on 2026-04-27; https://pubs.rsc.org/en/journals/journal/jmta,no
paper_0195,"Ni/LaBO3 (B = Al, Cr, Fe) Catalysts for Steam Reforming of Methane (SRM): On the Interaction Between Ni and LaBO3 Perovskites with Differed Fine Structures",Menghe Yang,2021.0,Catalysis Surveys from Asia,10.1007/s10563-021-09343-7,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ni labo3 b al cr fe catalysts for steam reforming of methane srm on the interaction between ni and labo3 perovskites with differed fine structures,10.1007/s10563-021-09343-7,ni labo3 b al cr fe catalysts for steam reforming of methane srm on the interaction between ni and labo3 perovskites with differed fine structures::2021.0,,candidate,no,,,,,,yes
paper_0196,Steam reforming of methane: Current states of catalyst design and process upgrading,Haotian Zhang,2021.0,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2021.111330,,openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst || SRM catalyst methane || methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,steam reforming of methane current states of catalyst design and process upgrading,10.1016/j.rser.2021.111330,steam reforming of methane current states of catalyst design and process upgrading::2021.0,,candidate,no,,,,,,yes
paper_0185,A Short Review on Ni Based Catalysts and Related Engineering Issues for Methane Steam Reforming,Eugenio Meloni,2020.0,Catalysts,10.3390/catal10030352,"Hydrogen is an important raw material in chemical industries, and the steam reforming of light hydrocarbons (such as methane) is the most used process for its production. In this process, the use of a catalyst is mandatory and, if compared to precious metal-based catalysts, Ni-based catalysts assure an acceptable high activity and a lower cost. The aim of a distributed hydrogen production, for example, through an on-site type hydrogen station, is only reachable if a novel reforming system is developed, with some unique properties that are not present in the large-scale reforming system. These properties include, among the others, (i) daily startup and shutdown (DSS) operation ability, (ii) rapid response to load fluctuation, (iii) compactness of device, and (iv) excellent thermal exchange. In this sense, the catalyst has an important role. There is vast amount of information in the literature regarding the performance of catalysts in methane steam reforming. In this short review, an overview on the most recent advances in Ni based catalysts for methane steam reforming is given, also regarding the use of innovative structured catalysts.",openalex,yes,yes,yes,review,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,a short review on ni based catalysts and related engineering issues for methane steam reforming,10.3390/catal10030352,a short review on ni based catalysts and related engineering issues for methane steam reforming::2020.0,,candidate,no,2024,4.0,Q2,manual_lookup,Official MDPI journal metrics page surfaced via search on 2026-04-27; Impact Factor 4.0 in 2024; Q2 in Chemistry Physical; https://www.mdpi.com/journal/catalysts,no
paper_0186,Chemical looping steam reforming of methane over Ce-doped perovskites,Xianhua Zhang,2020.0,Chemical Engineering Science,10.1016/j.ces.2020.115707,,openalex,no,no,yes,journal_article,SRM catalyst methane || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,chemical looping steam reforming of methane over ce doped perovskites,10.1016/j.ces.2020.115707,chemical looping steam reforming of methane over ce doped perovskites::2020.0,,candidate,no,2025,4.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/chemical-engineering-science,no
paper_0187,Kinetics of steam reforming of methane on Rh–Ni/MgAl2O4 catalyst,Katheria,2020.0,"Reaction Kinetics, Mechanisms and Catalysis",10.1007/s11144-020-01767-y,,crossref,unclear,no,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,kinetics of steam reforming of methane on rh ni mgal2o4 catalyst,10.1007/s11144-020-01767-y,kinetics of steam reforming of methane on rh ni mgal2o4 catalyst::2020.0,,candidate,no,,,,,,yes
